VehicleType,DayType,StartTime,EndTime,ZoneID,ChargeAmount,EffectiveDate
Motorcycles,Weekdays,08:00,08:05,AYC,0.25,2022-02-14
Motorcycles,Weekdays,08:05,08:30,AYC,0.5,2022-02-14
Motorcycles,Weekdays,08:30,08:35,AYC,0.75,2022-02-14
Motorcycles,Weekdays,08:35,09:25,AYC,1,2022-02-14
Motorcycles,Weekdays,09:25,09:30,AYC,0.5,2022-02-14
Motorcycles,Weekdays,17:30,17:35,AYC,0.25,2022-02-14
Motorcycles,Weekdays,17:35,18:25,AYC,0.5,2022-02-14
Motorcycles,Weekdays,18:25,18:30,AYC,0.25,2022-02-14
Motorcycles,Weekdays,18:00,18:05,AYT,0.25,2022-02-14
Motorcycles,Weekdays,18:05,18:55,AYT,0.5,2022-02-14
Motorcycles,Weekdays,18:55,19:00,AYT,0.25,2022-02-14
Motorcycles,Weekdays,07:30,07:35,CT1,0.25,2022-02-14
Motorcycles,Weekdays,07:35,08:00,CT1,0.5,2022-02-14
Motorcycles,Weekdays,08:00,08:05,CT1,0.75,2022-02-14
Motorcycles,Weekdays,08:05,09:55,CT1,1,2022-02-14
Motorcycles,Weekdays,09:55,10:00,CT1,0.5,2022-02-14
Motorcycles,Weekdays,07:30,07:35,CT2,0.25,2022-02-14
Motorcycles,Weekdays,07:35,08:00,CT2,0.5,2022-02-14
Motorcycles,Weekdays,08:00,08:05,CT2,0.75,2022-02-14
Motorcycles,Weekdays,08:05,09:25,CT2,1,2022-02-14
Motorcycles,Weekdays,09:25,09:30,CT2,0.75,2022-02-14
Motorcycles,Weekdays,09:30,09:55,CT2,0.5,2022-02-14
Motorcycles,Weekdays,09:55,10:00,CT2,0.25,2022-02-14
Motorcycles,Weekdays,07:00,07:05,CT4,0.25,2022-02-14
Motorcycles,Weekdays,07:05,08:00,CT4,0.5,2022-02-14
Motorcycles,Weekdays,08:00,08:05,CT4,0.75,2022-02-14
Motorcycles,Weekdays,08:05,09:25,CT4,1,2022-02-14
Motorcycles,Weekdays,09:25,09:30,CT4,0.75,2022-02-14
Motorcycles,Weekdays,09:30,09:55,CT4,0.5,2022-02-14
Motorcycles,Weekdays,09:55,10:00,CT4,0.25,2022-02-14
Motorcycles,Weekdays,17:30,17:35,CT5,0.5,2022-02-14
Motorcycles,Weekdays,17:35,18:00,CT5,1,2022-02-14
Motorcycles,Weekdays,18:00,18:05,CT5,1.25,2022-02-14
Motorcycles,Weekdays,18:05,18:55,CT5,1.5,2022-02-14
Motorcycles,Weekdays,18:55,19:00,CT5,1,2022-02-14
Motorcycles,Weekdays,19:00,19:25,CT5,0.5,2022-02-14
Motorcycles,Weekdays,19:25,19:30,CT5,0.25,2022-02-14
Motorcycles,Weekdays,08:30,08:35,KP2,0.25,2022-02-14
Motorcycles,Weekdays,08:35,08:55,KP2,0.5,2022-02-14
Motorcycles,Weekdays,08:55,09:00,KP2,0.25,2022-02-14
Motorcycles,Weekdays,07:30,07:35,PE3,0.25,2022-02-14
Motorcycles,Weekdays,07:35,08:00,PE3,0.5,2022-02-14
Motorcycles,Weekdays,08:00,08:05,PE3,0.75,2022-02-14
Motorcycles,Weekdays,08:05,09:55,PE3,1,2022-02-14
Motorcycles,Weekdays,09:55,10:00,PE3,0.5,2022-02-14
